Net generation for all sectors per State,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Georgia : nuclear,33682,31108,33257,33748,31534,32006,32545,31691,31683,33512,32306,33942,32903,32570,33838,34481,33709,34363,33591,32826,33952
Maryland,,,,,,,,,,,,,,,,,,,,,
Maryland : all fuels (utility-scale),49062,48279,52244,52053,52662,48957,50198,47361,43775,43607,41818,37810,35851,37834,36366,37167,34104,43810,39326,36029,38236
Maryland : nuclear,13656,12128,13691,14580,14703,13830,14353,14679,14550,13994,14397,13579,14264,14343,14643,14760,15107,14988,15013,15081,14994
North Carolina,,,,,,,,,,,,,,,,,,,,,
North Carolina : all fuels (utility-scale),117496,124468,127582,126330,129749,125215,130115,125239,118407,128678,118390,116682,125936,128144,128388,130779,128468,134249,131174,124363,129923
North Carolina : nuclear,37775,39627,40907,40091,39982,39963,40045,39776,40848,40740,40527,39386,40242,40967,42097,42786,42374,42077,41916,42329,43118
South Carolina,,,,,,,,,,,,,,,,,,,,,
South Carolina : all fuels (utility-scale),89159,96563,93773,97940,102515,99268,103402,100978,100125,104153,102973,96756,95250,97158,96532,96986,93081,99364,100108,98529,98390
South Carolina : nuclear,49870,53326,50418,51201,53138,50797,53200,51763,52150,51988,52903,51145,54252,52419,53156,55826,54345,52716,56103,54751,53771
Virginia,,,,,,,,,,,,,,,,,,,,,
Virginia : all fuels (utility-scale),74105,75006,75309,78900,78943,73070,78361,72679,70082,72966,66671,70739,76897,77137,84412,92555,90417,95509,96828,103056,93478
Virginia : nuclear,25759,27346,24816,28315,27918,27594,27268,27931,28212,26572,25548,28723,29326,30221,28060,29732,30554,29252,29498,30140,28572
West Virginia,,,,,,,,,,,,,,,,,,,,,
West Virginia : all fuels (utility-scale),81837,94762,94712,89750,93626,93816,93933,91123,70783,80789,79000,73413,75863,81060,72295,75943,73357,67249,63926,56662,65836
West Virginia : nuclear,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Alabama,,,,,,,,,,,,,,,,,,,,,
Alabama : all fuels (utility-scale),125345,132921,137487,137355,137949,140895,143826,145870,143256,152151,156339,152879,150573,149340,152477,142385,139964,145058,142679,137547,142733
Alabama : nuclear,30357,31857,31677,31636,31694,31911,34325,38993,39716,37941,39356,40841,40816,41244,41951,39902,42652,39463,43657,43551,46036
Kentucky,,,,,,,,,,,,,,,,,,,,,
Kentucky : all fuels (utility-scale),95418,92107,91719,94530,97822,98792,97225,97863,90630,98218,98351,89950,89741,90896,83544,80274,73179,78804,71804,63540,69908
Kentucky : nuclear,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mississippi,,,,,,,,,,,,,,,,,,,,,
Mississippi : all fuels (utility-scale),53446,42889,40148,43663,45067,46229,50044,48206,48701,54487,51571,54584,52810,55127,64758,62881,59728,63474,65959,66582,67723
Mississippi : nuclear,9924,10059,10902,10233,10078,10419,9359,9397,10999,9643,10337,7296,10865,10252,11715,5897,7365,6919,11033,6471,11772
Tennessee,,,,,,,,,,,,,,,,,,,,,
Tennessee : all fuels (utility-scale),96222,96114,92222,97595,97117,93911,95113,90663,79717,82349,81104,77724,79652,79507,75215,79341,79046,81555,82327,80566,79057
Tennessee : nuclear,28576,27574,24153,28612,27803,24679,28700,27030,26962,27739,26919,25102,28494,27670,24960,29578,31818,36176,35720,36688,35330
Arkansas,,,,,,,,,,,,,,,,,,,,,
Arkansas : all fuels (utility-scale),47192,47612,50401,51928,47795,52169,54596,55051,57458,61000,61308,65006,60322,61592,55559,60445,60775,67999,64443,54641,61100
Arkansas : nuclear,14781,14559,14689,15450,13690,15233,15486,14168,15170,15023,14194,15493,11945,14478,13838,13421,12691,12721,13575,15063,13556
Louisiana,,,,,,,,,,,,,,,,,,,,,
Louisiana : all fuels (utility-scale),87894,94971,94885,98172,92617,90922,92578,92453,90994,102885,105491,103408,102010,104229,107812,107269,97719,102128,100175,100774,98715
Louisiana : nuclear,17336,17305,16126,17080,15676,16735,17078,15371,16782,18639,16615,15659,16954,17311,15301,17152,15410,17153,13981,16950,17249
Oklahoma,,,,,,,,,,,,,,,,,,,,,
Oklahoma : all fuels (utility-scale),55249,59183,60627,60730,68608,70615,72819,76329,75067,72251,74606,77897,73674,70156,76136,78655,73732,87181,86386,83368,80755
Oklahoma : nuclear,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Texas,,,,,,,,,,,,,,,,,,,,,
Texas : all fuels (utility-scale),372580,385629,379200,390299,396669,400583,405492,404788,397168,411695,435477,429813,433380,437630,449826,454048,452794,477352,483201,473515,481844
Texas : nuclear,38163,35618,33437,40435,38232,41264,40955,40727,41498,41335,39648,38441,38315,39287,39355,42079,38581,41186,41298,41439,40211
Mountain,,,,,,,,,,,,,,,,,,,,,
Arizona,,,,,,,,,,,,,,,,,,,,,
Arizona : all fuels (utility-scale),89911,94132,94396,104564,101479,104393,113341,119459,111971,111751,108125,110905,113326,112257,113142,108763,105852,111925,113552,109305,108605
Arizona : nuclear,28724,30862,28581,28113,25807,24012,26782,29250,30662,31200,31278,31934,31431,32321,32526,32377,32340,31097,31920,31552,31630
Colorado,,,,,,,,,,,,,,,,,,,,,
Colorado : all fuels (utility-scale),46876,45600,46617,47869,49617,50698,53907,53442,50566,50721,51433,52557,52937,53847,52393,54418,53844,55386,56338,54115,56838
Colorado : nuclear,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Idaho,,,,,,,,,,,,,,,,,,,,,
Idaho : all fuels (utility-scale),9347,9787,10423,10863,10825,13386,11484,11971,13100,12025,16569,15499,15186,15184,15667,15661,17396,18172,18408,17686,16836
Idaho : nuclear,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Montana,,,,,,,,,,,,,,,,,,,,,
Montana : all fuels (utility-scale),24232,25474,26269,26789,27939,28244,28931,29637,26713,29791,30129,27805,27687,30258,29302,27784,28221,28213,27797,23353,24948
Montana : nuclear,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Nevada,,,,,,,,,,,,,,,,,,,,,
Nevada : all fuels (utility-scale),33876,32089,33195,37667,40214,31860,32670,35090,37705,35146,31936,35173,36444,36001,39047,39787,38201,39640,39890,40425,41755
Nevada : nuclear,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Mexico,,,,,,,,,,,,,,,,,,,,,
New Mexico : all fuels (utility-scale),33612,30662,32736,32940,35136,37266,35985,37010,39674,36252,38181,36636,35871,32306,32701,32912,33597,32674,35175,34076,35192
New Mexico : nuclear,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Utah,,,,,,,,,,,,,,,,,,,,,
